effect	px	py	pz	lx	ly	lz	fov	near	far	_
Sau_HealProtocol_OLD	0	0.243099213	-19.7742	0	0.243099213	-0.524150133	40	0.01	609.2561	0
Sau_IndomitableWill	0	0.5880002	-9.910921	0	0.5880002	0	40	0.01	313.676544	0
Sau_LordOfTheStorm	0	-0.885290146	-67.9810638	0	-0.885290146	0	40	0.01	2151.57251	0
Sau_MasterChronomancer	0	0.473999977	-15.7541437	0	0.473999977	-0.2119999	40	0.01	491.9024	0
Sau_MethodicalDestruction	0	5.350499	-74.49294	0	5.350499	0	40	0.01	2357.671	0
Sau_ParticleWhip	0	0	-215.879547	0	0	37.4999962	40	0.01	8019.35742	0
Sau_ReconstitutionProtocol	0	1.99100018	-62.1685753	0	1.99100018	0	40	0.01	1967.60962	0
Sau_ResurrectionOrb	0	2.97100067	-116.566093	0	2.97100067	0	40	0.01	3689.26855	0
Sau_SolarPulse	0	0.016998291	-187.825714	0	0.016998291	-1.31999969	40	0.01	5902.828	0
Scarab Explosion	0.191135883	-2.08300781	-47.85899	0.191135883	-2.08300781	0.9730158	40	0.01	1545.5127	0
Scrapcode_aimed_target	0	0.23119998	-26.87463	0	0.23119998	9.845256	40	0.01	1162.16919	0
Scream_gold	0	0.160000086	-12.3128567	0	0.160000086	0	40	0.01	389.6968	0
Scream_purple	0	0.799999952	-12.3128567	0	0.799999952	0	40	0.01	389.6968	0
Scream_purple_nid	0	1.2	-12.3128567	0	1.2	0	40	0.01	389.6968	0
Scream_purple_Quick	0	0.364000082	-12.3128567	0	0.364000082	0	40	0.01	389.6968	0
Scream_Ragnar_Target	0	0.5	-24.6257133	0	0.5	0	40	0.01	779.3936	0
Scream_SW_Ragnar	0	-13.1197281	-85.49965	0	-13.1197281	-0.04501438	40	0.01	2704.60376	0
Screen_Gold	-0.0358901024	1.86482453	-31.5191727	-0.0358901024	1.86482453	3.04302931	40	0.01	1093.87927	0
Screen_Red	0	1.58969617	-34.71482	0	1.58969617	1.75	40	0.01	1154.09656	0
Screen_Top_Green	0	0.8699999	-31.1689911	0	0.8699999	3.51925	40	0.01	1097.86841	0
ScytheAssault	1.68427277	0.009566307	-101.229576	1.68427277	0.009566307	1.2827816	40	0.01	3244.47363	0
ScytheAssaultShadow	-1.15802383	-1.19999981	-104.432	-1.15802383	-1.19999981	0.736124039	40	0.01	3328.52734	0
Sentry_Effect	0	0	-48.8349037	0	0	0.5760002	40	0.01	1563.83459	0
Shadow_Projectile	0	0	-48.8069725	0	0	4	40	0.01	1671.31885	0
Shadow_Projectile_EC	0	0	-48.8069725	0	0	4	40	0.01	1671.31885	0
Shadow_Projectile_GSC_Invulnerable	0	0	-48.8069725	0	0	4	40	0.01	1671.31885	0
ShieldTraitEffect_Idle	0	-1.28499985	-58.104454	0	-1.28499985	0.179001808	40	0.01	1844.64722	0
ShieldTraitEffect_Idle Emperor's Children Variant	0	-0.7535	-59.08987	0	-0.7535	0.179001808	40	0.01	1875.83521	0
ShieldTraitEffect_Idle Necron Variant	0	-1.28499985	-58.104454	0	-1.28499985	0.179001808	40	0.01	1844.64722	0
ShieldTraitEffect_Idle Sororitas Variant	0	-0.7535	-59.08987	0	-0.7535	0.179001808	40	0.01	1875.83521	0
ShieldTraitEffect_Idle TAU Variant	0	-1.28499985	-58.104454	0	-1.28499985	0.179001808	40	0.01	1844.64722	0
Shuriken_Short_Trait	0	0.154999971	-49.5875778	0	0.154999971	19.1946259	40	0.01	2176.92822	0
ShurikenEffect	0	-0.10248518	-19.95327	0	-0.10248518	-0.2939999	40	0.01	622.2077	0
SkorchaAttackEffect	-4.563938	0.07502675	-51.0549469	-4.563938	0.07502675	3.74064159	40	0.01	1734.25769	0
Slash Repeating 2x	0	0.500050068	-18.4898872	0	0.500050068	0.0599999428	40	0.01	587.0962	0
Slash Repeating 5x	0	0.500050068	-18.4898872	0	0.500050068	0.0599999428	40	0.01	587.0962	0
SlayEffect	0	-1.25861454	-37.3011436	0	-1.25861454	0	40	0.01	1180.5658	0
Smoke_Board	-0.239997864	0.6482487	-49.76345	-0.239997864	0.6482487	-0.487534523	40	0.01	1559.56226	0
Smoke_Explosion	6.389618E-05	0.04992485	-77.71071	6.389618E-05	0.04992485	-9.536743E-07	40	0.01	2459.51172	0
Sniper Target	0	0	-7.771072	0	0	0	40	0.01	245.9512	0
SniperPreEffect	0	-0.6543999	-23.7500114	0	-0.6543999	1.4000001	40	0.01	795.9874	0
Solar Beam Target	0	23.1700058	-131.0533	0	23.1700058	17.0606174	40	0.01	4687.744	0
Sororitas Saint Custom summon	0	0	-55.4964867	0	0	0	40	0.01	1756.44067	0
Sororitas Summon Basic	0	0	-55.4684868	0	0	0.0279998779	40	0.01	1756.44067	0
Sororitas Summon Resurrect	0	0	-55.8379974	0	0	0.5055933	40	0.01	1783.25122	0
Sororitas_BladeOfFaith	0	-1.21999979	-54.04119	0	-1.21999979	17.6119938	40	0.01	2267.79346	0
Sororitas_Destroy_Flames	0	12.1259995	-119.566231	0	12.1259995	0	40	0.01	3784.22168	0
Sororitas_Divine Intervention_ Battleground	0	6.88999939	-217.284653	0	6.88999939	2.65839	40	0.01	6961.106	0
Sororitas_Divine Intervention_Target	0	12.1259995	-119.566231	0	12.1259995	0	40	0.01	3784.22168	0
Space Wolves Summon	0	-0.843279839	-55.0683441	0	-0.843279839	0.07177544	40	0.01	1745.16187	0
Space Wolves Summon OLD	0	0.02699995	-27.1987534	0	0.02699995	0	40	0.01	860.8293	0
Space Wolves Summon Wolves	0	-0.843279839	-55.0683441	0	-0.843279839	0.07177544	40	0.01	1745.16187	0
Spore Explosion	0	-1.09600019	-24.8674374	0	-1.09600019	0	40	0.01	787.044067	0
Spore Mine Explosion	0	-1.09600019	-24.8674374	0	-1.09600019	0	40	0.01	787.044067	0
Squig_BigChompaJaws	-9.15527344E-05	0	-1751.39868	-9.15527344E-05	0	0.289001465	40	0.01	55440.1875	0
Squig_Explosion	0	0.450000763	-91.967926	0	0.450000763	0	40	0.01	2910.74683	0
Stealth_Proc	0	0.6349914	-25.4031773	0	0.6349914	0	40	0.01	804	0
Stealth_Proc_Eldar	0	-0.414999962	-25.0524979	0	-0.414999962	0	40	0.01	792.9011	0
Stealth_Proc_UM	0	-1.31	-23.3132172	0	-1.31	0	40	0.01	737.853638	0
StealthEffect	-0.08297753	0.686008453	-7.44325447	-0.08297753	0.686008453	0.128730059	40	0.01	239.650177	0
StimulateEffect	0	-1.41810036	-37.4257851	0	-1.41810036	0	40	0.01	1184.51062	0
StompEffect	0	-1.10938549	-23.3149567	0	-1.10938549	-0.00173521042	40	0.01	737.85376	0
StrikeEffect	-0.0517539978	0.417499661	-10.6586618	-0.0517539978	0.417499661	-0.03999996	40	0.01	336.076233	0
StunEffect	0.04316616	1.97530723	-20.9412365	0.04316616	1.97530723	0.000466823578	40	0.01	662.796265	0
StunEffect_idle	-1.32322311E-05	0.83152926	-6.86593866	-1.32322311E-05	0.83152926	0.597062051	40	0.01	236.200882	0
StunEffect_proc	0.04316616	1.97530723	-20.9412365	0.04316616	1.97530723	0.000466823578	40	0.01	662.796265	0
Summon_Generic	0	0.179656386	-8.029919	0	0.179656386	-0.0394999981	40	0.01	252.893448	0
SW_Axe_Buff	0.5116229	0.8320885	-29.6165562	0.5116229	0.8320885	0.7308421	40	0.01	960.4826	0
SW_Tornado	0.109055519	2.16096115	-48.41667	0.109055519	2.16096115	-0.0382518768	40	0.01	1531.15686	0
Swarm Card Merge VFX	0.03100586	0.00220012665	-37.50815	0.03100586	0.00220012665	-0.206999779	40	0.01	1180.5658	0
Swarm_Trigger_OnTarget	-0.007194519	-1.12059975	-116.467163	-0.007194519	-1.12059975	0.164600372	40	0.01	3691.34668	0
Sword_10x_EC	-0.2179308	1.30881643	-29.3921623	-0.2179308	1.30881643	0.21082449	40	0.01	936.922241	0
Sword_Slash_DA	1.36480188	0.02205658	-28.555891	1.36480188	0.02205658	0	40	0.01	903.7821	0
Sword_Slash_DA_Heavy	1.33671331	0.02205658	-28.6093655	1.33671331	0.02205658	0	40	0.01	905.474548	0
Sword_Slash_EC	-47.13958	1.90734863E-06	-168.1331	-47.13958	1.90734863E-06	-0.09331894	40	0.01	5318.38965	0
Sword_Slash_EC 3x	-47.13958	0.7346201	-168.1893	-47.13958	0.7346201	0	40	0.01	5323.12158	0
Sword_Slash_EC_User	0.420098782	-0.579900742	-21.7114239	0.420098782	-0.579900742	0.348363161	40	0.01	698.183167	0
Sword_Slash_EC_User 3x	0	-0.579900265	-21.914938	0	-0.579900265	0.448363543	40	0.01	707.789246	0
Sword_Slash_EC_User 7x	0	-0.579900265	-21.962492	0	-0.579900265	0.5083635	40	0.01	711.1933	0
Sword_Slash_EC_User Inverted	0.420098782	-0.579900742	-21.7114239	0.420098782	-0.579900742	0.348363161	40	0.01	698.183167	0
Sword_Slash_Simple	-2.14576721E-06	0.5319998	-20.1396942	-2.14576721E-06	0.5319998	-0.7119999	40	0.01	614.8785	0
Sword_Slash_User_DA	-0.592915535	0.248445988	-21.22972	-0.592915535	0.248445988	-0.143440723	40	0.01	667.372	0
Sword_Slash_User_DA No Tween	-0.592915535	0.248445988	-21.22972	-0.592915535	0.248445988	-0.143440723	40	0.01	667.372	0
SynapseEffect	0	-0.154385567	-29.1313782	0	-0.154385567	0.09826374	40	0.01	925.1061	0
SynapseEffect_NoIcon	0	0.8906145	-46.90731	0	0.8906145	-0.0017375946	40	0.01	1484.54187	0
Talent_Warmaster	0	-0.8100004	-48.5965652	0	-0.8100004	0	40	0.01	1538.06116	0
TalentEffect	0	0.0236145258	-8.964452	0	0.0236145258	0.112263441	40	0.01	287.274261	0
Tank_Shot_Small	0.19785881	-0.06515837	-19.49684	0.19785881	-0.06515837	-0.00018620491	40	0.01	617.061	0
Tap Blue Glow	0	0	-7.781989	0	0	0.02849996	40	0.01	247.198746	0
Tap Blue Glow Blink	0	0	-7.781989	0	0	0.02849996	40	0.01	247.198746	0
Tap Fire Eldar	0.3075161	-0.357902884	-8.687581	0.3075161	-0.357902884	0.13730371	40	0.01	279.303925	0
Tap Firepit	0.242468357	-0.0229508877	-9.451954	0.242468357	-0.0229508877	0.5237112	40	0.01	315.725647	0
Tap Firepit 2	0.239531159	-0.0149074793	-9.105329	0.239531159	-0.0149074793	0.5237112	40	0.01	304.755127	0
Tap Floor Grille	0	0	-13.4523687	0	0	0.75	40	0.01	449.499084	0
Tap Green Glow	0	0	-7.781989	0	0	0.02849996	40	0.01	247.198746	0
Tap Hit Metal	0.10600704	-0.7971894	-4.172941	0.10600704	-0.7971894	0.8935158	40	0.01	160.351273	0
Tap Hit Metal Red	-0.155811667	-0.6676003	-4.167386	-0.155811667	-0.6676003	0.460812151	40	0.01	146.480545	0
Tap Hit Metal Small	0.0595095	-0.6993424	-2.27512765	0.0595095	-0.6993424	0.3060985	40	0.01	81.69473	0
Tap Monolith Left Glow	0	0	-55.9610062	0	0	0	40	0.01	1771.14258	0
Tap Monolith Right Glow	0	0	-55.9610062	0	0	0	40	0.01	1771.14258	0
Tap Plasma generator	0	0	-5.804304	0	0	0.0240000486	40	0.01	184.463409	0
Tap Red Glow Eye	0	0	-5.83928633	0	0	0.02849996	40	0.01	185.713013	0
Tap Rock	0.0297338367	-0.7137855	-5.34689665	0.0297338367	-0.7137855	0.2312079	40	0.01	176.5447	0
Tap Squig	0.0362847447	0.0119164884	-3.38925433	0.0362847447	0.0119164884	-0.07335186	40	0.01	104.946938	0
Tap squishy	0.0297338367	-0.7847855	-5.03892946	0.0297338367	-0.7847855	0.302207857	40	0.01	169.044785	0
Tap Toxic Sludge	-0.206589818	-1.7342391	-8.531695	-0.206589818	-1.7342391	0.4275911	40	0.01	283.5577	0
Tap Toxic Sludge green	0.0514786839	-0.527009249	-4.80916739	0.0514786839	-0.527009249	0.631901741	40	0.01	172.207581	0
Tap Webway Portal	0	0	-5.804304	0	0	0.0240000486	40	0.01	184.463409	0
Tau Buff Ranged	-0.022819519	-0.5183182	-91.55251	-0.022819519	-0.5183182	-0.03999901	40	0.01	2896.333	0
Tau Coordinated Engagement	0	3.81469727E-05	-70.36467	0	3.81469727E-05	0	40	0.01	2227.0127	0
Tau_AerialBombardment	16.495369	44.212326	-286.5441	16.495369	44.212326	-26.4200134	40	0.01	8232.819	0
Tau_RailBombardment UNUSED	15.4328508	44.49703	-286.285858	15.4328508	44.49703	-26.4200134	40	0.01	8224.646	0
Tau_SummonCircle	0	0.03999996	-39.0742569	0	0.03999996	0	40	0.01	1236.68408	0
Tau_Vespid_laser	0	-1.31500053	-220.364212	0	-1.31500053	58.2561226	40	0.01	8818.218	0
